Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11
Manastirishte,,Krushevo,,monastery,,,Manastirishte,,41.3342536,21.2944459
Sv. Troica,,Shtip,Партизанска,monastery,,,,,41.764959,22.1992659
Muzej na grad Berovo,http://www.berovo.gov.mk/index.php?option=com_content&view=article&id=76&Itemid=117,Berovo,,museum,,,Berovo Town Museum,,41.7077548,22.8566138
Prirodonauchen Muzej,,Skopje,,museum,,,Macedonian Museum of Natural History,Tu-Su 09:00-16:00,42.005709,21.4174425
Manastirec,,Makedonski Brod,,monastery,,,Manastirec,,41.615915,21.20585
Manastirsko Dolenci,,Kichevo,,monastery,,,Manastirsko Dolenci,,41.4553299,20.9383949
Arhiv na grad Skopje,,Skopje,Московска,library,,,Skopje City Archives,,42.0030932,21.3907447
Nasoka: Muzej na Sovremena Umetnost kon Ostrovska,,Skopje,,museum,,,Direction: Museum of Modern Art to Ostrovska,Mo-Su 09:40-13:45,41.991065,21.4608009
Gorna Bela Crkva,,Resen,,church,,,Gorna Bela Crkva,,41.052604,21.0270859
Dolna Bela Crkva,,Resen,,church,,,Dolna Bela Crkva,,41.0407483,21.0530213
Manastir,,Prilep,,monastery,,,Manastir,,41.1665147,21.7278091
Sv. Kiril i Metodij,,Shtip,Крушевска Република,monastery,,,,,41.7584182,22.2049297
Bela Crkva,,Krushevo,,church,,,Bela Crkva,,41.2802009,21.3465334
Nasoka: Ostrovska kon Muzej na Sovremena Umetnost,,Skopje,,museum,,,Direction: Ostrovska to Museum of Modern Art,Mo-Su 09:00-13:05,41.9911049,21.460762
Crkva „Sveti Ilija„,,Ohrid,,church,,,Church of St. Elijah,,41.1827523,20.7990502
Zaliv na Koskite,,Ohrid,,museum,,,Bay of Bones,Tu-Su 09:00-16:15,40.9943571,20.798135
Crkva,,Prilep,,church,,,Crkva,,41.3094886,21.5148524
Spomen-kukja na Tatarchevi,,Resen,,museum,,,Tatarchev House,,41.0883715,21.0138121
Crkva Sv. Kiril i Metodij i Sv. Benedikt,,Ohrid,Партизанска,church,,,,,41.1109674,20.8047653
Evangelska crkva,,Skopje,Рузвелтова,church,,,,,41.9991208,21.4130556
Crkva Sv. Dimitrij,,Skopje,,church,,,Church of St. Demetrius,,41.998476,21.4343719
Crkva „Sveti Spas“,,Ohrid,,church,,+389 77 899 580,,,41.1817025,20.7932588
Moklishki Manastir,,Kavadarci,,monastery,,,Monastery of Moklishte,,41.3849637,22.0371547
Kukjata na Gjoshevi,,Prilep,,archaeological_site,,,House of Gjoshev,,41.3588123,21.5329048
Veprchanski Manastir,,Prilep,,monastery,,,Monastery of Veprchani,,41.2710192,21.7632365
Nikodinski Manastir,,Prilep,,monastery,,,Monastery of Nikodin,,41.4382231,21.7432732
Chanishki Manastir,,Prilep,,monastery,,,Monastery of Chanishte,,41.1587114,21.6864086
Severen Peshtanski Manastir,,Prilep,,monastery,,,North Peshtani's Monastery,,41.2865774,21.6704685
Istochen Peshtanski Manastir,,Prilep,,monastery,,,East Peshtani's Monastery,,41.2753836,21.6619357
Manastir Treskavec,,Prilep,,monastery,,,Monastery of Treskavec,,41.4038539,21.538239
Mariovski Manastir,,Prilep,,monastery,,,Monastery of Mariovo,,41.165019,21.7263832
Drenski Manastir,,Prilep,,monastery,,,Monastery of Dren,,41.3229712,21.7799888
Kokrenski Manastir,,Prilep,,monastery,,,Monastery of Kokre,,41.2928482,21.6345729
Mucheinci,,Demir Hisar,,archaeological_site,,,Mucheinci,,41.2017673,21.4000686
Volkovski Manastir,,Prilep,,monastery,,,Monastery of Volkovo,,41.304366,21.5658789
Trojachki Manastir,,Prilep,,monastery,,,Monastery of Trojaci,,41.3666135,21.7406418
Vrboechki Manastir,,Krushevo,,monastery,,,Monastery of Vrboec,,41.3346757,21.2937899
Spomen-dom Blazhe Koneski,,Prilep,,museum,,,Blazhe Koneski Memorial House,,41.4492955,21.5584325
Rozhdestvo na Presveta Bogorodica,,Resen,,monastery,,,Nativity of the Holy Mother of God,,40.9781132,21.1004642
Koshinski Manastir,,Makedonski Brod,,monastery,,,Monastery of Koshino,,41.4647099,21.293814
Melnichki Manastir,,Prilep,,monastery,,,Monastery of Melnica,,41.1636934,21.7811163
Ropotovski Manastir,,Makedonski Brod,,monastery,,,Monastery of Ropotovo,,41.46197,21.3755953
Star Leshochki Manastir,,Tetovo,,monastery,,,Old monastery of Leshok,,42.0702071,21.0270748
Nov Leshochki Manastir,,Tetovo,,monastery,,,New monastery of Leshok,,42.0670071,21.0277394
Manastirska Reka,,Resen,,monastery,,,Manastirska Reka,,41.0470098,21.1644871
Beshishki Manastir,,Prilep,,monastery,,,Monastery of Beshishte,,41.1161568,21.8048998
Lokovski Manastir,,Debar,,monastery,,,Monastery of Lokov,,41.3883737,20.656632
Lokvenski Manastir,,Krushevo,,monastery,,,Monastery of Lokveni,,41.4043464,21.2936021
Belopolski Manastir,,Prilep,,monastery,,,Monastery of Belo Pole,,41.413839,21.412587
Trstenichki Manastir,,Krushevo,,monastery,,,Monastery of Trstenik,,41.346308,21.2741608
Muzej na grad Delchevo,,Delchevo,,museum,,,City Museum,,41.9664768,22.7729986
Sv. Nikola,,Makedonski Brod,,archaeological_site,,,St. Nicholas,,41.5183903,21.3499992
Lisolajski Manastir,,Demir Hisar,,monastery,,,Monastery of Lisolaj,,41.1478465,21.3215278
Krklinski Manastir,,Bitola,,monastery,,,Monastery of Krklino,,41.0690873,21.3171552
Suvodolski Manastir,,Demir Hisar,,monastery,,,Monastery of Suvodol,,41.2066775,21.2454152
Sopotnichki Manastir,,Krushevo,,monastery,,,Monastery of Sopotnica,,41.3138764,21.1466731
Smilevski Manastir,,Demir Hisar,,monastery,,,Monastery of Smilevo,,41.1706956,21.1062322
Sloeshtichki Manastir,,Demir Hisar,,monastery,,,Monastery of Sloeshtica,,41.2848431,21.0921762
Staro Selo,,Bitola,,monastery,,,Staro Selo,,40.9633156,21.3507622
Dobromirovski Manastir,,Demir Hisar,,monastery,,,Monastery of Dobromirovo,,41.238575,21.1507339
Vardinski Manastir,,Demir Hisar,,monastery,,,Monastery of Vardino,,41.2349484,21.2513595
Manastir Sveti Gjorgji - Knezhino,,Kichevo,,monastery,,,,,41.5162167,20.9215121
Nebregovski Manastir,,Prilep,,monastery,,,Monastery of Nebregovo,,41.4618481,21.5711316
Drenovchanski Manastir,,Prilep,,monastery,,,Monastery of Drenovci,,41.4731221,21.544353
Gostirazhnenski Manastir,,Makedonski Brod,,monastery,,,Monastery of Gostirazhni,,41.5510956,21.440235
Lenishki Manastir,,Prilep,,monastery,,,Monastery of Lenishte,,41.3582823,21.627288
Slepchenski Manastir,,Demir Hisar,,monastery,,,Monastery of Slepche,,41.2265457,21.1509663
Zhurchanski Manastir,,Krushevo,,monastery,,,Monastery of Zhurche,,41.2961883,21.2532412
Velushinski Manastir,,Bitola,,monastery,,,Monastery of Velushina,,40.92782,21.3402743
Chagorski Manastir,,Demir Hisar,,monastery,,,Monastery of Chagor,,41.1910021,21.2568287
Budinarechki Manastir,,Bitola,,monastery,,,Monastery of Budinarci,,41.0371433,21.7430909
Novachki Manastir,,Bitola,,monastery,,,Monastery of Novaci,,41.0448131,21.4387026
Ezeranski Manastir,,Resen,,monastery,,,Monastery of Ezerani,,41.0094171,21.0103766
Podmochanski Manastir,,Resen,,monastery,,,Monastery of Podmochani,,41.0374119,21.0742597
Stiponski Manastir,,Resen,,monastery,,,Monastery of Stipona,,41.0553417,20.9615458
Kurshumli-an,,Skopje,,museum,,,,,42.0031164,21.4370445
Smolevski Manastir,,Bitola,,monastery,,,Monastery of Smolevo,,41.00838,21.3185968
Grncharski Manastir,,Resen,,monastery,,,Monastery of Grnchari,,41.0111621,21.0807151
Jankovechki Manastir,,Resen,,monastery,,,Monastery of Jankovec,,41.1105239,21.0021335
Shtrbovski Manastir,,Resen,,monastery,,,Monastery of Shtrbovo,,40.9340324,21.1208725
Kurbinovski manastir,,Resen,,monastery,,,Monastery of Kurbinovo,,40.9861486,21.0848442
Zrzeski Manastir,,Makedonski Brod,,monastery,,,Monastery of Zrze,,41.5212022,21.3414252
Maloilinski manastir,,Demir Hisar,,monastery,,,Monastery of Malo Ilino,,41.2932219,20.9804411
Star Selechki Manastir,,Prilep,,monastery,,,Old Monastery of Selce,,41.325515,21.5937551
Bolnenski Manastir,,Resen,,monastery,,,Monastery of Bolno,,41.0890924,20.9880701
Prilepechki Manastir,,Prilep,,monastery,,,Monastery of Prilepec,,41.2902067,21.5966952
Dovledzichki Manastir,,Bitola,,monastery,,,Monastery of Dovledzhik,,41.0358619,21.3022403
Brajchinski Manastir,,Bitola,,monastery,,,Monastery of Brajchino,,40.9054146,21.1683458
Drzhaven arhiv na Severna Makedonija,,Skopje,,library,,,State Archives of North Macedonia,,41.9968185,21.4343486
Gradska Biblioteka Ilinden,,Delchevo,,library,,,City Library Ilinden,,41.9663875,22.772984
Vardarski Rid,,Gevgelija,,archaeological_site,,,Vardar Hill,,41.1485732,22.5217936
Carevi Kuli,,Strumica,,archaeological_site,,,Czar’s Towers,,41.4324514,22.6300225
11 Oktomvri 1941,,Prilep,,museum,,,October the 11th 1941,,41.345014,21.5523595
Iljada knigi,,Skopje,,library,,,,,41.9946963,21.4354639
Drugarche,,Skopje,,library,,,Drugarche,,42.0036192,21.4004515
Rimska cisterna,,Resen,,archaeological_site,,,Roman Cistern,,40.8681483,20.9904397
Stara bazilika,,Resen,,archaeological_site,,,Old Basilica,,40.8670435,20.9887439
Spomen Kosturnica,,Veles,,museum,,,Kosturnica Memorial,,41.7233006,21.7894869
Tane Georgievski,,Kumanovo,,library,,,,Mo-Fr 07:00-19:00; Sa 07:00-15:00,42.1339256,21.7189594
Magaza,,Bitola,,museum,,,Magaza gallery,,41.0299321,21.3351247
Biblioteka „Brakja Miladinovci“,,Skopje,,library,,,"Library ""Miladinovci Brothers""",,41.9997022,21.4202484
Brakja Miladinovci,,Skopje,Виа Игнација,library,,,,,42.0064775,21.3614728
Biblioteka Fetkin,,Kavadarci,,library,,,Fetkin Library,,41.4340077,22.0124363
Heraklea Linkestis,,Bitola,,archaeological_site,,,Heraclea Lyncestis,,41.011111,21.3423417
Antichki teatar,,Ohrid,,archaeological_site,,,Ancient Theatre,,41.1146399,20.7938144
Spomen kukja na Strasho Pindzur,,Kavadarci,,memorial_house,,,Memorial house - Strasho Pindjur,,41.4184594,22.0181317
Spomen kukja na Hristo Uzunov,,Ohrid,,memorial_house,,,Memorial house of Hristo Uzunov,,41.112242,20.7958365
Skupi,,Skopje,,archaeological_site,,,Scupi,,42.0165648,21.3925592
Golema Pesh,,Gostivar,,archaeological_site,,,Golema Pesht,,41.8117124,21.1617392
Muzej Krklino,http://www.muzejkrklino.mk/en/,Bitola,,museum,,,"Auto and etno museum ""Filip""",,41.0748026,21.3299172
Muzej Galerija Kavadarci,,Kavadarci,,museum,,,Muzej Galerija Kavadarci,,41.4343634,22.0163228
Davina Kula,,Skopje,,archaeological_site,,,Davina Kula,,42.0843452,21.3548716
Banjichko Kale,,Veles,,archaeological_site,,,Banjica Fortress,,41.6952366,21.628172
Kalata,,Makedonska Kamenica,,archaeological_site,,,Kalata,,41.9856377,22.5905605
Machka kamen,,Kratovo,,archaeological_site,,,Macka kamen,,42.0853984,21.9627449
Kale,,Resen,,archaeological_site,,,Kale,,41.0043725,20.9282003
Plaoshnik,,Ohrid,,archaeological_site,,,Plaoshnik,,41.1128239,20.7908576
Isar-Marvinci,https://vici.org/vici/Idomenia,Valandovo,,archaeological_site,,,,,41.2774735,22.4937195
Zagoranski Manastir,,Prilep,,monastery,,,Monastery of Zagorani,,41.2582891,21.4232584
Tumba Madzari,,Skopje,,archaeological_site,,,Tumba Madzhari,,42.0014931,21.5054395
beranechki Manastir,,Bitola,,monastery,,,Monastery of Beranci,,41.1553967,21.347533
Etnoloshki muzej,,Resen,,museum,,,Ethnographic museum,,41.0240503,21.0506131
Devini Kuli,,Makedonski Brod,,archaeological_site,,,Devini Kuli,,41.5417536,21.2374131
Leshok,,Tetovo,,archaeological_site,,,Leshok,,42.0675908,21.0260841
1. Brigada,,Debar,,museum,,,1 Бригада,,41.3659738,20.6486358
Bitolski Manastir,,Bitola,,monastery,,,Monastery of Bitola,,41.0430399,21.3315251
Crnobuchki Manastir,,Bitola,,monastery,,,Monastery of Crnobuki,,41.1215636,21.3353846
Loznanski Manastir,,Demir Hisar,,monastery,,,Monastery of Loznani,,41.202011,21.4003692
Kula,,Makedonski Brod,,archaeological_site,,,Kula,,41.5070505,21.2735584
Pelagon,,Prilep,,archaeological_site,,,Pelagon,,41.207884,21.6162431
Staro Bonche,,Prilep,,archaeological_site,,,Staro Bonche,,41.2066672,21.5883917
Deljadrovechki manastir,,Kumanovo,,monastery,,,Monastery of Deljadrovci,,42.0237335,21.6774932
Babo,,Prilep,,archaeological_site,,,Babo,,41.1967792,21.652119
Bay of Bones Museum,http://muzejohrid.mk/en/bay-of-bones-ohrid,Ohrid,,museum,,,,,40.9942972,20.7983138
Gradishte,,Demir Hisar,,archaeological_site,,,Gradishte,,41.2409433,21.2184749
Stibera,,Demir Hisar,,archaeological_site,,,Stibera,,41.243788,21.3975268
Treskavec,,Prilep,,archaeological_site,,,Treskavec,,41.4053138,21.5376682
Muzej na ikoni,https://www.muzejprilep.org.mk/,Prilep,,museum,,,,,41.3439193,21.558677
Begov amam,,Tetovo,,museum,,,Bey's Hamam,,42.0062618,20.9673497
Rajchki Manastir,,Debar,,monastery,,,Monastery of Rajchica,,41.5147683,20.5490734
Goriche,,Demir Hisar,,archaeological_site,,,Goriche,,41.2380683,21.2008838
Peshta,,Prilep,,archaeological_site,,,Peshta,,41.0881076,21.7443349
Gradot / Markovi Kuli,,Prilep,,archaeological_site,,,Gradot / Markovi Kuli,,41.2061627,21.7183713
Berovchanski Manastir,,Prilep,,monastery,,,Monastery of Berovci,,41.2961983,21.4875646
Lavchanski Manastir,,Resen,,monastery,,,Monastery of Lavci,,41.0482813,20.9685195
Dunjski Manastir II,,Prilep,,monastery,,,Monastery of Dunje II,,41.2203313,21.6861658
Dolni Manastirec,,Makedonski Brod,,monastery,,,,,41.6156037,21.211982
Hotel Manastir,,Berovo,,monastery,,,Manastir Hotel,,41.700628,22.8587642
Manastir Sv. Arhangel Mihail,,Berovo,,monastery,,,Monastery,,41.701039,22.859018
Manastir Sv. Andrej,,Skopje,,monastery,,,Monastery St. Andrej,,41.9505936,21.2991931
Gorni Manastirec,,Makedonski Brod,,monastery,,,,,41.6248684,21.1885284
Manastir Sv. Nikola,,Demir Kapija,,monastery,,,Monastery St. Nicholas,,41.3831513,22.2878614
Manastir Svetka Petka,,Skopje,,monastery,,,,,42.0594793,21.509645
Manastir Sv. Bogorodica Eleusa,,Strumica,,monastery,,,Monastery of the Mother of God Eleusa,,41.4748537,22.5651714
Manastir Sv. Leontij,,Strumica,,monastery,,,St. Leontius Monastery,,41.4505759,22.5902413
Manastir Sveti Ilija,,Veles,,monastery,,,Monastery of Saint Ellyah,,41.812649,21.6647825
Sv.Petar i Pavle manastirche,,Resen,,monastery,,,St.Piter and Paul church,,41.0830455,21.0306352
Hotel Manastir Sveti Stefan,,Ohrid,,monastery,,,Hotel Monastery Sveti Stefan,,41.0737427,20.8042065
Manastirche,,Bitola,,monastery,,,Manastirche,,41.1019788,21.5221046
Markov Manastir,,Skopje,,monastery,,,Marko's Monastery,,41.8933367,21.4023539
Manastir „Sveti Naum“,,Ohrid,,monastery,,,Monastery of Saint Naum,,40.9139505,20.7406423
Manastir Sv. Joakim Osogovski,,Kriva Palanka,,monastery,,,Monastery of St. Joakim Osogovski,,42.208794,22.3623436
Manastirsko parkiralishte,,Probishtip,,monastery,,,Monastery Parking,,42.0125072,22.2268262
Lesnovski manastir,,Probishtip,,monastery,,,Lesnovo Monastery,,42.0132986,22.2284115
Manastir Sv. Bogorodica,,Skopje,,monastery,,,St. Holy Mother of God Monastery,,42.1255318,21.4283099
Manastir Sveta Petka,,Ohrid,,monastery,,,Saint Petka Monastery,,41.1291432,20.8400056
Crkva „Sv. Arhangel Mihail“,,Tetovo,,church,,,St. Michael the Archangel Church,,42.062585,21.1211964
Crkva „Sveti Nikola“,,Sveti Nikole,,church,,,"Church ""Saint Nicholas""",,41.8662947,21.9423391
Stara Crkva,,Prilep,,church,,,Stara Crkva,,41.3436481,21.5583497
Crkva Rozhdestvo na Presv. Bogorodica,,Berovo,,church,,,Nativity of the Theotokos Church,,41.706763,22.8570672
Crkva Sveta Petka,,Ohrid,,church,,,Saint Petka Church,,40.9131005,20.7415162
Crkva Sv. Gjorgjija,,Ohrid,,church,,,St. Gjorgjija Church,,41.1175675,20.813755
Crkva „Sv. Velikomachenik Georgij“,,Skopje,Ѓорѓи Капчев,church,,,,,41.9783403,21.496101
Crkva „Sv. Nedela“ - Tenovo,,Gostivar,,church,,,,,41.8829405,20.9917833
Evagelistichka Metodistichka Crkva,,Skopje,,church,,,,,41.9964602,21.4236374
Crkva „Sv. Petar“,,Resen,,church,,,St. Peter's Church,,40.8698069,20.9881982
Crkva „Sv. Dimitrij“,,Resen,,church,,,St. Demetrius,,40.8687081,20.9883511
Makedonska pravoslavna crkva – Ohridska arhiepiskopija,,Ohrid,,church,,,Macedonian Orthodox Church – Ohrid Archbishopric,,41.1138878,20.7958716
"Peshterna Crkva ""Sv. Bogorodica"" - Kalishta",,Struga,,church,,,"Cave Church ""Holy Mother of God"" - Kalishta",,41.144784,20.6501829
"Crkva ""Presveta Bogorodica""",,Gostivar,,church,,,"Church ""Тhe Blessed Mother of God""",,41.7931877,20.9110485
"Crkva ""Sveti Gjorgjija""",,Gostivar,,church,,,"Church ""Saint George""",,41.792018,20.8780469
"Crkva ""Sveti Nikola""",,Gostivar,,church,,,"""Saint Nicolas"" Church",,41.7581011,20.8788086
"Crkva ""Sv. Jovan Krstitel""",,Gostivar,,church,,,"""John the Baptist"" Church",,41.7333448,20.8284355
"Crkva ""Sv. Nikola""",,Gostivar,,church,,,"""Saint Nicolas"" Church",,41.7219181,20.8445763
"Crkva ""Sv. Bogorodica""",,Gostivar,,church,,,"""Saint Mother of God"" Church",,41.7045474,20.8444402
Crkva Sv. Atanasij,,Tetovo,Маршал Тито,church,,,,,41.9662208,20.9814533
Crkva Sveti Nikola - Gerakomija,,Ohrid,,church,,,Church of St. Nicholas - Gerakomija,,41.1123573,20.7948345
Crkva „Sv. Atanasij“,,Tetovo,,church,,,,,41.9054326,20.9624042
Crkva „Sv. Nikola“,,Tetovo,,church,,,,,41.8949135,20.9839342
Crkva Sv. Konstantin i Elena,,Skopje,,church,,,Church of St. Constantine and Helen,,41.9933752,21.430813
Toshev Manastir,,Krushevo,,monastery,,,Toshe's Monastery,,41.4083235,21.2204305
Manastir Sv. Ilija,,Skopje,,monastery,,,Monastery of St. Elijah,,42.0855825,21.4098688
Manastir Dobra Voda,,Kochani,,monastery,,,Monastery Dobra Voda,,41.9380352,22.4597043
Kukjata na Mantovi,,Prilep,,archaeological_site,,,House of Mantov,,41.3553603,21.5404478
Manastir Ragjanje na Presveta Bogorodica,,Makedonski Brod,,monastery,,,Monastery Birth of the Holly Mother,,41.6261597,21.1943195
Stroshki Manastir / Strovjanski Manastir,,Makedonski Brod,,monastery,,,Monastery of Strovja,,41.5688988,21.4084321
Nov Selechki Manastir,,Prilep,,monastery,,,New monastery of Selce,,41.3221933,21.5607907
Bareshanski Manastir,,Bitola,,monastery,,,Monastery of Bareshani,,40.9522315,21.3505556
Beshishte-Manastir,,Prilep,,monastery,,,Beshishte-Manastir,,41.1748959,21.7355858
Polchishki Manastir,,Prilep,,monastery,,,Monastery of Polchishte,,41.1364736,21.8061421
Dunje-Manastir,,Prilep,,monastery,,,Dunje-Manastir,,41.2074131,21.7002362
Prisadski Manastir,,Prilep,,monastery,,,Monastery of Prisad,,41.4286124,21.6203108
sv. Trojica,,Skopje,,monastery,,,Sv. Trojitca,,42.1028018,21.3781601
Krushevica-Manastir,,Prilep,,monastery,,,Krushevica-Manastir,,41.194657,21.6893066
Belovodichki Manastir,,Prilep,,monastery,,,Monastery of Belovodica,,41.3404219,21.6896482
Manastir-Polchishte,,Prilep,,monastery,,,Manastir-Polchishte,,41.2050939,21.7238717
Pashinoruvchanski Manastir,,Prilep,,monastery,,,Monastery of Pashino Ruvci,,41.2714521,21.3901052
Manastir-Chanishte,,Prilep,,monastery,,,Manastir-Chanishte,,41.1711113,21.7067477
Brailovski Manastir,,Prilep,,monastery,,,Monastery of Brailovo,,41.4669708,21.4620626
Buchinski Manastir,,Demir Hisar,,monastery,,,Monastery of Buchin,,41.2743878,21.2922042
Manastir Sv. Pantelejom,,Kochani,,monastery,,,Monastery St. Panteleimon,,41.9683426,22.3097693
Manastir Sv. Arhangeli,,Skopje,,monastery,,,Monastery St Archangels,,42.1321849,21.4141076
Dunjski Manastir I,,Prilep,,monastery,,,Monastery of Dunje I,,41.247224,21.6691195
Manastir Sv. Hristofor,,Bitola,,monastery,,,Monastery St. Christopher,,40.9884145,21.3413763
Pisokalski Manastir,,Prilep,,monastery,,,Monastery of Pisokal,,41.2487073,21.6078445
Manastir „Sveti Naum,,Ohrid,,monastery,,,The Monastery of Saint Naum,,40.9138479,20.7406601
Krushevichki Manastir,,Prilep,,monastery,,,Monastery of Krushevica,,41.1975791,21.6702039
