name,website,city,street,amenity,email,region,phone,place,name:en,opening_hours,latitude,longitude
Стар Лешочки Манастир,,Тетово,,monastery,,,,,Old monastery of Leshok,,42.0702071,21.0270748
Нов Лешочки Манастир,,Тетово,,monastery,,,,,New monastery of Leshok,,42.0670071,21.0277394
Манастирска Река,,Ресен,,monastery,,,,,Manastirska Reka,,41.0470098,21.1644871
Бешишки Манастир,,Прилеп,,monastery,,,,,Monastery of Beshishte,,41.1161568,21.8048998
Локовски Манастир,,Дебар,,monastery,,,,,Monastery of Lokov,,41.3883737,20.656632
Локвенски Манастир,,Крушево,,monastery,,,,,Monastery of Lokveni,,41.4043464,21.2936021
Белополски Манастир,,Прилеп,,monastery,,,,,Monastery of Belo Pole,,41.413839,21.412587
Трстенички Манастир,,Крушево,,monastery,,,,,Monastery of Trstenik,,41.346308,21.2741608
Музеј на град Делчево,,Делчево,,museum,,,,,City Museum,,41.9664768,22.7729986
Св. Никола,,Македонски Брод,,archaeological_site,,,,,St. Nicholas,,41.5183903,21.3499992
Лисолајски Манастир,,Демир Хисар,,monastery,,,,,Monastery of Lisolaj,,41.1478465,21.3215278
Крклински Манастир,,Битола,,monastery,,,,,Monastery of Krklino,,41.0690873,21.3171552
Суводолски Манастир,,Демир Хисар,,monastery,,,,,Monastery of Suvodol,,41.2066775,21.2454152
Сопотнички Манастир,,Крушево,,monastery,,,,,Monastery of Sopotnica,,41.3138764,21.1466731
Смилевски Манастир,,Демир Хисар,,monastery,,,,,Monastery of Smilevo,,41.1706956,21.1062322
Слоештички Манастир,,Демир Хисар,,monastery,,,,,Monastery of Sloeshtica,,41.2848431,21.0921762
Старо Село,,Битола,,monastery,,,,,Staro Selo,,40.9633156,21.3507622
Добромировски Манастир,,Демир Хисар,,monastery,,,,,Monastery of Dobromirovo,,41.238575,21.1507339
Вардински Манастир,,Демир Хисар,,monastery,,,,,Monastery of Vardino,,41.2349484,21.2513595
Манастир Свети Ѓорѓи - Кнежино,,Кичево,,monastery,,,,,,,41.5162167,20.9215121
Небреговски Манастир,,Прилеп,,monastery,,,,,Monastery of Nebregovo,,41.4618481,21.5711316
Дреновчански Манастир,,Прилеп,,monastery,,,,,Monastery of Drenovci,,41.4731221,21.544353
Гостиражненски Манастир,,Македонски Брод,,monastery,,,,,Monastery of Gostirazhni,,41.5510956,21.440235
Ленишки Манастир,,Прилеп,,monastery,,,,,Monastery of Lenishte,,41.3582823,21.627288
Слепченски Манастир,,Демир Хисар,,monastery,,,,,Monastery of Slepche,,41.2265457,21.1509663
Журчански Манастир,,Крушево,,monastery,,,,,Monastery of Zhurche,,41.2961883,21.2532412
Велушински Манастир,,Битола,,monastery,,,,,Monastery of Velushina,,40.92782,21.3402743
Чагорски Манастир,,Демир Хисар,,monastery,,,,,Monastery of Chagor,,41.1910021,21.2568287
Будинаречки Манастир,,Битола,,monastery,,,,,Monastery of Budinarci,,41.0371433,21.7430909
Новачки Манастир,,Битола,,monastery,,,,,Monastery of Novaci,,41.0448131,21.4387026
Езерански Манастир,,Ресен,,monastery,,,,,Monastery of Ezerani,,41.0094171,21.0103766
Подмочански Манастир,,Ресен,,monastery,,,,,Monastery of Podmochani,,41.0374119,21.0742597
Стипонски Манастир,,Ресен,,monastery,,,,,Monastery of Stipona,,41.0553417,20.9615458
Куршумли-ан,,Скопје,,museum,,,,,,,42.0031164,21.4370445
Смолевски Манастир,,Битола,,monastery,,,,,Monastery of Smolevo,,41.00838,21.3185968
Грнчарски Манастир,,Ресен,,monastery,,,,,Monastery of Grnchari,,41.0111621,21.0807151
Јанковечки Манастир,,Ресен,,monastery,,,,,Monastery of Jankovec,,41.1105239,21.0021335
Штрбовски Манастир,,Ресен,,monastery,,,,,Monastery of Shtrbovo,,40.9340324,21.1208725
Курбиновски манастир,,Ресен,,monastery,,,,,Monastery of Kurbinovo,,40.9861486,21.0848442
Зрзески Манастир,,Македонски Брод,,monastery,,,,,Monastery of Zrze,,41.5212022,21.3414252
Малоилински манастир,,Демир Хисар,,monastery,,,,,Monastery of Malo Ilino,,41.2932219,20.9804411
Стар Селечки Манастир,,Прилеп,,monastery,,,,,Old Monastery of Selce,,41.325515,21.5937551
Болненски Манастир,,Ресен,,monastery,,,,,Monastery of Bolno,,41.0890924,20.9880701
Прилепечки Манастир,,Прилеп,,monastery,,,,,Monastery of Prilepec,,41.2902067,21.5966952
Довлеџички Манастир,,Битола,,monastery,,,,,Monastery of Dovledzhik,,41.0358619,21.3022403
Брајчински Манастир,,Битола,,monastery,,,,,Monastery of Brajchino,,40.9054146,21.1683458
Државен архив на Северна Македонија,,Скопје,,library,,,,,State Archives of North Macedonia,,41.9968185,21.4343486
Градска Библиотека Илинден,,Делчево,,library,,,,,City Library Ilinden,,41.9663875,22.772984
Вардарски Рид,,Гевгелија,,archaeological_site,,,,,Vardar Hill,,41.1485732,22.5217936
Цареви Кули,,Струмица,,archaeological_site,,,,,Czar’s Towers,,41.4324514,22.6300225
11 Октомври 1941,,Прилеп,,museum,,,,,"October the 11th, 1941",,41.345014,21.5523595
Илјада книги,,Скопје,,library,,,,,,,41.9946963,21.4354639
Другарче,,Скопје,,library,,,,,Drugarche,,42.0036192,21.4004515
Римска цистерна,,Ресен,,archaeological_site,,,,,Roman Cistern,,40.8681483,20.9904397
Стара базилика,,Ресен,,archaeological_site,,,,,Old Basilica,,40.8670435,20.9887439
Спомен Костурница,,Велес,,museum,,,,,Kosturnica Memorial,,41.7233006,21.7894869
Тане Георгиевски,,Куманово,,library,,,,,,Mo-Fr 07:00-19:00; Sa 07:00-15:00,42.1339256,21.7189594
Магаза,,Битола,,museum,,,,,Magaza gallery,,41.0299321,21.3351247
Библиотека „Браќа Миладиновци“,,Скопје,,library,,,,,"Library ""Miladinovci Brothers""",,41.9997022,21.4202484
Браќа Миладиновци,,Скопје,Виа Игнација,library,,,,,,,42.0064775,21.3614728
Библиотека Феткин,,Кавадарци,,library,,,,,Fetkin Library,,41.4340077,22.0124363
Хераклеа Линкестис,,Битола,,archaeological_site,,,,,Heraclea Lyncestis,,41.011111,21.3423417
Антички театар,,Охрид,,archaeological_site,,,,,Ancient Theatre,,41.1146399,20.7938144
Спомен куќа на Страшо Пинџур,,Кавадарци,,memorial_house,,,,,Memorial house - Strasho Pindjur,,41.4184594,22.0181317
Спомен куќа на Христо Узунов,,Охрид,,memorial_house,,,,,Memorial house of Hristo Uzunov,,41.112242,20.7958365
Скупи,,Скопје,,archaeological_site,,,,,Scupi,,42.0165648,21.3925592
Голема Пеш,,Гостивар,,archaeological_site,,,,,Golema Pesht,,41.8117124,21.1617392
Музеј Крклино,http://www.muzejkrklino.mk/en/,Битола,,museum,,,,,"Auto and etno museum ""Filip""",,41.0748026,21.3299172
Музеј Галерија Кавадарци,,Кавадарци,,museum,,,,,Muzej Galerija Kavadarci,,41.4343634,22.0163228
Давина Кула,,Скопје,,archaeological_site,,,,,Davina Kula,,42.0843452,21.3548716
Бањичко Кале,,Велес,,archaeological_site,,,,,Banjica Fortress,,41.6952366,21.628172
Калата,,Македонска Каменица,,archaeological_site,,,,,Kalata,,41.9856377,22.5905605
Мачка камен,,Кратово,,archaeological_site,,,,,Macka kamen,,42.0853984,21.9627449
Кале,,Ресен,,archaeological_site,,,,,Kale,,41.0043725,20.9282003
Плаошник,,Охрид,,archaeological_site,,,,,Plaoshnik,,41.1128239,20.7908576
Isar-Marvinci,https://vici.org/vici/Idomenia,Валандово,,archaeological_site,,,,,,,41.2774735,22.4937195
Загорански Манастир,,Прилеп,,monastery,,,,,Monastery of Zagorani,,41.2582891,21.4232584
Тумба Маџари,,Скопје,,archaeological_site,,,,,Tumba Madzhari,,42.0014931,21.5054395
беранечки Манастир,,Битола,,monastery,,,,,Monastery of Beranci,,41.1553967,21.347533
Eтнолошки музеј,,Ресен,,museum,,,,,Ethnographic museum,,41.0240503,21.0506131
Девини Кули,,Македонски Брод,,archaeological_site,,,,,Devini Kuli,,41.5417536,21.2374131
Лешок,,Тетово,,archaeological_site,,,,,Leshok,,42.0675908,21.0260841
1. Бригада,,Дебар,,museum,,,,,1 Бригада,,41.3659738,20.6486358
Битолски Манастир,,Битола,,monastery,,,,,Monastery of Bitola,,41.0430399,21.3315251
Црнобучки Манастир,,Битола,,monastery,,,,,Monastery of Crnobuki,,41.1215636,21.3353846
Лознански Манастир,,Демир Хисар,,monastery,,,,,Monastery of Loznani,,41.202011,21.4003692
Кула,,Македонски Брод,,archaeological_site,,,,,Kula,,41.5070505,21.2735584
Пелагон,,Прилеп,,archaeological_site,,,,,Pelagon,,41.207884,21.6162431
Старо Бонче,,Прилеп,,archaeological_site,,,,,Staro Bonche,,41.2066672,21.5883917
Дељадровечки манастир,,Куманово,,monastery,,,,,Monastery of Deljadrovci,,42.0237335,21.6774932
Бабо,,Прилеп,,archaeological_site,,,,,Babo,,41.1967792,21.652119
Bay of Bones Museum,http://muzejohrid.mk/en/bay-of-bones-ohrid,Охрид,,museum,,,,,,,40.9942972,20.7983138
Градиште,,Демир Хисар,,archaeological_site,,,,,Gradishte,,41.2409433,21.2184749
Стибера,,Демир Хисар,,archaeological_site,,,,,Stibera,,41.243788,21.3975268
Трескавец,,Прилеп,,archaeological_site,,,,,Treskavec,,41.4053138,21.5376682
Музеј на икони,https://www.muzejprilep.org.mk/,Прилеп,,museum,,,,,,,41.3439193,21.558677
Бегов амам,,Тетово,,museum,,,,,Bey's Hamam,,42.0062618,20.9673497
Рајчки Манастир,,Дебар,,monastery,,,,,Monastery of Rajchica,,41.5147683,20.5490734
Гориче,,Демир Хисар,,archaeological_site,,,,,Goriche,,41.2380683,21.2008838
Пешта,,Прилеп,,archaeological_site,,,,,Peshta,,41.0881076,21.7443349
Градот / Маркови Кули,,Прилеп,,archaeological_site,,,,,Gradot / Markovi Kuli,,41.2061627,21.7183713
Беровчански Манастир,,Прилеп,,monastery,,,,,Monastery of Berovci,,41.2961983,21.4875646
Лавчански Манастир,,Ресен,,monastery,,,,,Monastery of Lavci,,41.0482813,20.9685195
Дуњски Манастир II,,Прилеп,,monastery,,,,,Monastery of Dunje II,,41.2203313,21.6861658
Долни Манастирец,,Македонски Брод,,monastery,,,,village,,,41.6156037,21.211982
Хотел Манастир,,Берово,,monastery,,,,,Manastir Hotel,,41.700628,22.8587642
Манастир Св. Архангел Михаил,,Берово,,monastery,,,,,Monastery,,41.701039,22.859018
Манастир Св. Андреј,,Скопје,,monastery,,,,,Monastery St. Andrej,,41.9505936,21.2991931
Горни Манастирец,,Македонски Брод,,monastery,,,,village,,,41.6248684,21.1885284
Манастир Св. Никола,,Демир Капија,,monastery,,,,,Monastery St. Nicholas,,41.3831513,22.2878614
Manastir Svetka Petka,,Скопје,,monastery,,,,,,,42.0594793,21.509645
Манастир Св. Богородица Елеуса,,Струмица,,monastery,,,,,Monastery of the Mother of God Eleusa,,41.4748537,22.5651714
Манастир Св. Леонтиј,,Струмица,,monastery,,,,,St. Leontius Monastery,,41.4505759,22.5902413
Manastir Sveti Ilija,,Велес,,monastery,,,,,Monastery of Saint Ellyah,,41.812649,21.6647825
Св.Петар и Павле манастирче,,Ресен,,monastery,,,,,St.Piter and Paul church,,41.0830455,21.0306352
Хотел Манастир Свети Стефан,,Охрид,,monastery,,,,,Hotel Monastery Sveti Stefan,,41.0737427,20.8042065
Манастирче,,Битола,,monastery,,,,,Manastirche,,41.1019788,21.5221046
Марков Манастир,,Скопје,,monastery,,,,,Marko's Monastery,,41.8933367,21.4023539
Манастир „Свети Наум“,,Охрид,,monastery,,,,,Monastery of Saint Naum,,40.9139505,20.7406423
Манастир Св. Јоаким Осоговски,,Крива Паланка,,monastery,,,,,Monastery of St. Joakim Osogovski,,42.208794,22.3623436
Манастирско паркиралиште,,Пробиштип,,monastery,,,,,Monastery Parking,,42.0125072,22.2268262
Лесновски манастир,,Пробиштип,,monastery,,,,,Lesnovo Monastery,,42.0132986,22.2284115
Манастир Св. Богородица,,Скопје,,monastery,,,,,St. Holy Mother of God Monastery,,42.1255318,21.4283099
Манастир Света Петка,,Охрид,,monastery,,,,,Saint Petka Monastery,,41.1291432,20.8400056
Црква „Св. Архангел Михаил“,,Тетово,,church,,,,,St. Michael the Archangel Church,,42.062585,21.1211964
Црква „Свети Никола“,,Свети Николе,,church,,,,,"Church ""Saint Nicholas""",,41.8662947,21.9423391
Стара Црква,,Прилеп,,church,,,,,Stara Crkva,,41.3436481,21.5583497
Црква Рождество на Пресв. Богородица,,Берово,,church,,,,,Nativity of the Theotokos Church,,41.706763,22.8570672
Црква Света Петка,,Охрид,,church,,,,,Saint Petka Church,,40.9131005,20.7415162
Црква Св. Ѓoрѓијa,,Охрид,,church,,,,,St. Gjorgjija Church,,41.1175675,20.813755
Црква „Св. Великомаченик Георгиј“,,Скопје,Ѓорѓи Капчев,church,,,,,,,41.9783403,21.496101
Црква „Св. Недела“ - Теново,,Гостивар,,church,,,,,,,41.8829405,20.9917833
Евагелистичка Методистичка Црква,,Скопје,,church,,,,,,,41.9964602,21.4236374
Црква „Св. Петар“,,Ресен,,church,,,,,St. Peter's Church,,40.8698069,20.9881982
Црква „Св. Димитриј“,,Ресен,,church,,,,,St. Demetrius,,40.8687081,20.9883511
Македонска православна црква – Охридска архиепископија,,Охрид,,church,,,,,Macedonian Orthodox Church – Ohrid Archbishopric,,41.1138878,20.7958716
"Пештерна Црква ""Св. Богородица"" - Калишта",,Струга,,church,,,,,"Cave Church ""Holy Mother of God"" - Kalishta",,41.144784,20.6501829
"Црква ""Пресвета Богородица""",,Гостивар,,church,,,,,"Church ""Тhe Blessed Mother of God""",,41.7931877,20.9110485
"Црква ""Свети Ѓорѓија""",,Гостивар,,church,,,,,"Church ""Saint George""",,41.792018,20.8780469
"Црква ""Свети Никола""",,Гостивар,,church,,,,,"""Saint Nicolas"" Church",,41.7581011,20.8788086
"Црква ""Св. Јован Крстител""",,Гостивар,,church,,,,,"""John the Baptist"" Church",,41.7333448,20.8284355
"Црква ""Св. Никола""",,Гостивар,,church,,,,,"""Saint Nicolas"" Church",,41.7219181,20.8445763
"Црква ""Св. Богородица""",,Гостивар,,church,,,,,"""Saint Mother of God"" Church",,41.7045474,20.8444402
Црква Св. Атанасиј,,Тетово,Маршал Тито,church,,,,,,,41.9662208,20.9814533
Црква Свети Никола - Геракомија,,Охрид,,church,,,,,Church of St. Nicholas - Gerakomija,,41.1123573,20.7948345
Црква „Св. Атанасиј“,,Тетово,,church,,,,,,,41.9054326,20.9624042
Црква „Св. Никола“,,Тетово,,church,,,,,,,41.8949135,20.9839342
Црква Св. Константин и Елена,,Скопје,,church,,,,,Church of St. Constantine and Helen,,41.9933752,21.430813
Тошев Манастир,,Крушево,,monastery,,,,,Toshe's Monastery,,41.4083235,21.2204305
Манастир Св. Илија,,Скопје,,monastery,,,,,Monastery of St. Elijah,,42.0855825,21.4098688
Манастир Добра Вода,,Кочани,,monastery,,,,,Monastery Dobra Voda,,41.9380352,22.4597043
Куќата на Мантови,,Прилеп,,archaeological_site,,,,,House of Mantov,,41.3553603,21.5404478
Манастир Раѓање на Пресвета Богородица,,Македонски Брод,,monastery,,,,,Monastery Birth of the Holly Mother,,41.6261597,21.1943195
Строшки Манастир / Стровјански Манастир,,Македонски Брод,,monastery,,,,,Monastery of Strovja,,41.5688988,21.4084321
Нов Селечки Манастир,,Прилеп,,monastery,,,,,New monastery of Selce,,41.3221933,21.5607907
Барешански Манастир,,Битола,,monastery,,,,,Monastery of Bareshani,,40.9522315,21.3505556
Бешиште-Манастир,,Прилеп,,monastery,,,,,Beshishte-Manastir,,41.1748959,21.7355858
Полчишки Манастир,,Прилеп,,monastery,,,,,Monastery of Polchishte,,41.1364736,21.8061421
Дуње-Манастир,,Прилеп,,monastery,,,,,Dunje-Manastir,,41.2074131,21.7002362
Присадски Манастир,,Прилеп,,monastery,,,,,Monastery of Prisad,,41.4286124,21.6203108
св. Тројица,,Скопје,,monastery,,,,,Sv. Trojitca,,42.1028018,21.3781601
Крушевица-Манастир,,Прилеп,,monastery,,,,,Krushevica-Manastir,,41.194657,21.6893066
Беловодички Манастир,,Прилеп,,monastery,,,,,Monastery of Belovodica,,41.3404219,21.6896482
Манастир-Полчиште,,Прилеп,,monastery,,,,,Manastir-Polchishte,,41.2050939,21.7238717
Пашинорувчански Манастир,,Прилеп,,monastery,,,,,Monastery of Pashino Ruvci,,41.2714521,21.3901052
Манастир-Чаниште,,Прилеп,,monastery,,,,,Manastir-Chanishte,,41.1711113,21.7067477
Браиловски Манастир,,Прилеп,,monastery,,,,,Monastery of Brailovo,,41.4669708,21.4620626
Бучински Манастир,,Демир Хисар,,monastery,,,,,Monastery of Buchin,,41.2743878,21.2922042
Манастир Св. Пантелејом,,Кочани,,monastery,,,,,Monastery St. Panteleimon,,41.9683426,22.3097693
Манастир Св. Архангели,,Скопје,,monastery,,,,,"Monastery St, Archangels",,42.1321849,21.4141076
Дуњски Манастир I,,Прилеп,,monastery,,,,,Monastery of Dunje I,,41.247224,21.6691195
Манастир Св. Христофор,,Битола,,monastery,,,,,Monastery St. Christopher,,40.9884145,21.3413763
